,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
14334,SERVICE PROVIDER,Technical_Services,GEO_2,2.294640223,0
14335,SMB,Retail,GEO_1,2.2945935616666664,0
14336,SMB,WholeSale-Distribution,GEO_3,2.294517629,1
14337,COMMERCIAL,Financial_Services,GEO_2,2.294026972222222,1
14338,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.2931275925000003,1
14339,COMMERCIAL,Manufacturing,GEO_3,2.293111684,0
14340,SERVICE PROVIDER,Service_Provider,GEO_1,2.292623816,0
14341,COMMERCIAL,WholeSale-Distribution,GEO_1,2.290496471,0
14342,COMMERCIAL,Financial_Services,GEO_1,2.289914048,0
14343,SMB,Retail,GEO_1,2.2871856139999998,1
14344,PUBLIC SECTOR,Manufacturing,GEO_1,2.286411906666667,0
14345,COMMERCIAL,Technical_Services,GEO_3,2.2852185,0
14346,COMMERCIAL,Financial_Services,GEO_1,2.2852185,0
14347,COMMERCIAL,Manufacturing,GEO_1,2.284661999,0
14348,COMMERCIAL,Retail,GEO_3,2.283072476,0
14349,PUBLIC SECTOR,Professional_Services,GEO_2,2.282455023,1
14350,COMMERCIAL,Technical_Services,GEO_2,2.280676609,0
14351,COMMERCIAL,Manufacturing,GEO_3,2.279546467,0
14352,PUBLIC SECTOR,Government,GEO_1,2.279129389,0
14353,PUBLIC SECTOR,Government,GEO_2,2.278700011,0
14354,PUBLIC SECTOR,Government,GEO_2,2.2784329095,0
14355,COMMERCIAL,Manufacturing,GEO_2,2.2783619689999997,0
14356,COMMERCIAL,Financial_Services,GEO_3,2.277537768,0
14357,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.277151708,0
14358,SMB,Technical_Services,GEO_2,2.275733646,0
14359,COMMERCIAL,Service_Provider,GEO_1,2.275733575,0
14360,COMMERCIAL,Financial_Services,GEO_1,2.275418782,0
14361,SMB,Manufacturing,GEO_2,2.2752127385,1
14362,PUBLIC SECTOR,Retail,GEO_2,2.274460275,1
14363,PUBLIC SECTOR,Government,GEO_3,2.273742937,0
14364,SMB,Financial_Services,GEO_2,2.273312389,0
14365,SMB,WholeSale-Distribution,GEO_3,2.273159124,0
14366,COMMERCIAL,Transportation,GEO_1,2.272623372,0
14367,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.2723724290000002,0
14368,SMB,Manufacturing,GEO_2,2.272088069,0
14369,PUBLIC SECTOR,Health_Care,GEO_1,2.271882019,0
14370,ENTERPRISE,Retail,GEO_1,2.271882019,0
14371,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.271881947,0
14372,SERVICE PROVIDER,Financial_Services,GEO_3,2.271451983,0
14373,SERVICE PROVIDER,Technical_Services,GEO_2,2.2703874414285714,1
14374,SMB,Technical_Services,GEO_2,2.270015504,0
14375,COMMERCIAL,Professional_Services,GEO_2,2.2699741685,0
